origen;destino;a_ofertados;v_ofertados;distancia;tiempo;carreteras;n_tramos;riesgo;velocidad_media
Collado Villalba;Leganés;2.8;1.2;48783.0;2389.0;A-6,M-50,M-40;3;si;73.51
Collado Villalba;Madrid;6.49;2.92;40154.0;2180.0;A-6;1;no;66.31
Collado Villalba;Majadahonda;2.7;1.15;26242.0;1342.0;A-6,M-50;2;si;70.4
Collado Villalba;Manzanares el Real;2.67;1.0;18224.0;1509.0;M-608;1;no;43.48
Collado Villalba;Miraflores de la Sierra;1.5;1.5;40555.0;2864.0;M-608;1;no;50.98
Collado Villalba;Moralzarzal;3.0;1.1;7593.0;757.0;Carretera de Moralzarzal,M-608;2;no;36.11
Collado Villalba;Móstoles;2.97;1.31;43899.0;1941.0;A-6,M-50;2;si;81.42
Collado Villalba;Navacerrada;2.75;1.5;13234.0;930.0;M-601;1;no;51.23
Collado Villalba;Navalafuente;3.0;1.0;43966.0;2976.0;M-608;1;no;53.18
Collado Villalba;Navalcarnero;2.33;1.0;56216.0;2258.0;A-6,M-50,A-5;3;si;89.63
Collado Villalba;Paracuellos de Jarama;3.0;1.0;57233.0;3351.0;A-6,M-30,M-11;3;no;61.49
Collado Villalba;Parla;3.14;1.0;57444.0;2457.0;A-6,M-50;2;si;84.17
Collado Villalba;Pinto;2.4;1.2;60955.0;2433.0;A-6,M-50;2;si;90.19
Collado Villalba;Pozuelo de Alarcón;2.79;1.07;34639.0;1635.0;A-6,M-50;2;si;76.27
Collado Villalba;Rascafría;2.0;1.0;44290.0;3028.0;M-601,M-604;2;no;52.66
Collado Villalba;Rivas-Vaciamadrid;1.83;1.0;62831.0;3069.0;A-6,A-3;2;si;73.7
Collado Villalba;San Lorenzo de El Escorial;3.0;1.12;19999.0;1275.0;A-6,AP-6,M-600;3;no;56.47
Collado Villalba;San Sebastián de los Reyes;4.8;1.6;49797.0;2862.0;A-6,M-40;2;si;62.64
Collado Villalba;Soto del Real;2.67;1.0;26339.0;2067.0;M-608;1;no;45.87
Collado Villalba;Talamanca de Jarama;3.0;1.0;64519.0;4070.0;M-608,N-320;2;si;57.07
Collado Villalba;Torrejón de Ardoz;2.83;1.0;59120.0;3412.0;A-6,A-2;2;si;62.38
Collado Villalba;Torrejón de Velasco;3.0;1.0;64005.0;2571.0;A-6,M-50;2;si;89.62
Collado Villalba;Torrelaguna;3.0;1.0;51424.0;3568.0;M-608,M-608,N-320;3;si;51.89
Collado Villalba;Torrelodones;2.53;1.06;11603.0;593.0;A-6;1;no;70.44
Collado Villalba;Tres Cantos;2.4;1.0;38017.0;2425.0;M-608,M-607;2;no;56.44
Collado Villalba;Valdemoro;2.7;1.1;66479.0;2680.0;A-6,M-50;2;si;89.3
Collado Villalba;Venturada;2.0;1.0;47468.0;3109.0;M-608;1;no;54.96
Collado Villalba;Villaviciosa de Odón;1.67;1.0;40214.0;1841.0;A-6,M-50;2;si;78.64
Colmenar Viejo;Alcalá de Henares;2.25;1.0;55032.0;2985.0;M-104,A-1,R-2;3;no;66.37
Colmenar Viejo;Alcobendas;2.25;1.0;21710.0;1316.0;M-607,M-616;2;no;59.39
Colmenar Viejo;Alcorcón;3.0;1.33;48624.0;2597.0;M-607,M-40;2;si;67.4
Colmenar Viejo;Aranjuez;2.5;1.0;81318.0;4292.0;M-607,M-30,A-4;3;no;68.21
Colmenar Viejo;Arganda del Rey;2.0;1.0;59626.0;3250.0;M-607,A-3;2;si;66.05
Colmenar Viejo;Buitrago del Lozoya;3.0;1.0;49628.0;2765.0;M-625,A-1;2;no;64.62
Colmenar Viejo;Bustarviejo;1.5;1.0;30475.0;2281.0;M-609,M-611,M-610;3;no;48.1
Colmenar Viejo;Collado Villalba;2.2;1.0;28750.0;2076.0;M-607,M-608;2;no;49.86
Colmenar Viejo;El Boalo;2.67;1.0;20642.0;1351.0;M-607;1;no;55.0
Colmenar Viejo;El Molar;3.0;1.0;24640.0;1516.0;M-104,A-1;2;no;58.51
Colmenar Viejo;Getafe;3.0;1.0;48563.0;2876.0;M-607,M-30,A-42;3;si;60.79
Colmenar Viejo;Guadalix de la Sierra;2.5;1.0;18223.0;1384.0;M-625;1;no;47.4
Colmenar Viejo;Madrid;6.11;2.52;35473.0;2314.0;M-607,M-30;2;no;55.19
Colmenar Viejo;Miraflores de la Sierra;3.5;1.5;20883.0;1567.0;M-609,Carretera de Miraflores,M-611;3;no;47.98
Colmenar Viejo;Moralzarzal;2.0;1.0;22732.0;1498.0;M-607,M-608;2;no;54.63
Colmenar Viejo;Móstoles;2.33;1.0;53304.0;3150.0;M-607,M-40;2;si;60.92
Colmenar Viejo;Pinto;1.67;1.0;54847.0;3003.0;M-607,M-30,A-4;3;no;65.75
Colmenar Viejo;Rivas-Vaciamadrid;2.0;1.0;51281.0;2758.0;M-607,A-3;2;si;66.94
Colmenar Viejo;San Sebastián de los Reyes;2.0;1.0;23827.0;1578.0;M-607,M-616;2;no;54.36
Colmenar Viejo;Somosierra;3.0;1.0;66261.0;3303.0;M-625,A-1;2;no;72.22
Colmenar Viejo;Soto del Real;2.5;1.0;12248.0;859.0;Avenida de los Remedios,M-607,M-609;3;no;51.33
Colmenar Viejo;Torrelodones;4.5;1.5;22755.0;1702.0;M-618;1;no;48.13
Colmenar Viejo;Tres Cantos;3.2;1.4;10824.0;753.0;M-607,Carretera de Colmenar Viejo;2;no;51.75
Colmenar Viejo;Valdemoro;1.5;1.0;60371.0;3249.0;M-607,A-4;2;no;66.89
Colmenar Viejo;Venturada;2.0;1.0;25813.0;1822.0;M-625,M-608;2;no;51.0
Colmenar de Oreja;Aranjuez;3.0;1.0;22843.0;1472.0;M-318,M-305;2;no;55.87
Colmenar de Oreja;Arganda del Rey;4.2;1.4;29328.0;1607.0;M-315,M-317,A-3;3;si;65.7
Colmenar de Oreja;Campo Real;2.0;1.0;31502.0;1742.0;M-317,A-3,M-220;3;si;65.1
Colmenar de Oreja;El Boalo;3.0;1.0;100040.0;5421.0;M-311,A-3,M-607;3;si;66.43
Colmenar de Oreja;Las Rozas de Madrid;6.0;2.0;132565.0;6551.0;M-404,M-50,M-501;3;si;72.85
Colmenar de Oreja;Madrid;3.0;1.0;50775.0;3083.0;M-311,A-3;2;si;59.29
Colmenar de Oreja;Morata de Tajuña;6.0;2.0;18286.0;1148.0;M-315;1;no;57.34
Colmenar de Oreja;Rivas-Vaciamadrid;6.0;2.0;31530.0;1950.0;M-311;1;no;58.21
Colmenar de Oreja;Valdelaguna;3.0;1.0;6902.0;481.0;M-315;1;no;51.66
Colmenar de Oreja;Villarejo de Salvanés;3.0;1.0;12726.0;777.0;M-311,M-404;2;no;58.96
Colmenar del Arroyo;Madrid;2.4;1.0;55236.0;2985.0;M-501,M-511;2;no;66.62
Colmenar del Arroyo;Navas del Rey;2.0;1.0;8011.0;492.0;M-510,M-501;2;no;58.62
Colmenar del Arroyo;San Martín de Valdeiglesias;3.0;1.5;26433.0;1521.0;M-501;1;no;62.56
Colmenarejo;Alcalá de Henares;1.6;1.0;65458.0;4352.0;M-505,A-6,A-2;3;si;54.15
Colmenarejo;Collado Villalba;2.0;1.0;9920.0;925.0;M-510,M-519,M-528;3;no;38.61
Colmenarejo;Madrid;2.14;1.0;36232.0;2570.0;M-505,A-6;2;no;50.75
Colmenarejo;Manzanares el Real;3.0;1.0;30224.0;2545.0;M-510,M-608;2;no;42.75
Colmenarejo;Navalcarnero;3.0;1.0;37127.0;2472.0;M-600;1;no;54.07
Colmenarejo;Soto del Real;3.0;1.0;38339.0;3104.0;M-510,M-608;2;no;44.47
Colmenarejo;Valdemorillo;3.0;1.0;10023.0;791.0;M-510;1;no;45.62
Corpa;Pezuela de las Torres;3.0;1.0;8021.0;511.0;M-225;1;no;56.51
Coslada;Alcalá de Henares;3.49;1.65;21437.0;1544.0;M-21,A-2,M-300;3;si;49.98
Coslada;Alcobendas;2.29;1.0;19387.0;1441.0;M-40,M-12,Avenida de España;3;si;48.43
Coslada;Alcorcón;2.4;1.0;28151.0;1758.0;M-40;1;si;57.65
Coslada;Aranjuez;2.33;1.0;54428.0;2804.0;M-45,A-4,M-305;3;no;69.88
Coslada;Arganda del Rey;2.2;1.0;25540.0;1586.0;R-3;1;no;57.97
Coslada;Buitrago del Lozoya;2.5;1.0;74349.0;3255.0;A-1;1;no;82.23
Coslada;Casarrubuelos;3.0;1.0;44747.0;2147.0;M-45,M-50,A-42;3;si;75.03
Coslada;Daganzo de Arriba;2.5;1.0;20592.0;1398.0;M-21,M-108;2;no;53.03
Coslada;Getafe;2.5;1.0;24204.0;1544.0;M-45;1;no;56.43
Coslada;Guadarrama;1.0;1.0;61252.0;3513.0;M-40,M-30,A-6;3;si;62.77
Coslada;Las Rozas de Madrid;2.0;1.0;102142.0;5228.0;M-40,M-501;2;si;70.33
Coslada;Leganés;2.5;1.0;25150.0;1569.0;M-45;1;no;57.71
Coslada;Loeches;2.75;1.0;22226.0;1364.0;R-3,M-217;2;no;58.66
Coslada;Madrid;3.58;1.93;12960.0;1256.0;M-40,M-23,Calle de O'Donnell;3;si;37.15
Coslada;Majadahonda;2.53;1.0;33797.0;2518.0;M-40,M-30,A-6;3;si;48.32
Coslada;Meco;3.0;1.0;29162.0;1840.0;A-2,M-121;2;si;57.06
Coslada;Móstoles;2.71;1.14;32988.0;2083.0;M-40,R-5;2;si;57.01
Coslada;Nuevo Baztán;3.0;1.0;38525.0;2435.0;R-3,M-217,M-219;3;no;56.96
Coslada;Parla;2.5;1.0;34537.0;1880.0;M-45,M-50;2;si;66.13
Coslada;Pinto;2.5;1.0;27957.0;1514.0;M-45,M-50;2;si;66.48
Coslada;Pozuelo de Alarcón;2.67;1.0;31472.0;2217.0;M-40,M-30,M-503;3;si;51.1
Coslada;Rivas-Vaciamadrid;2.0;1.0;18649.0;1133.0;M-45,A-3;2;si;59.26
Coslada;San Fernando de Henares;3.0;1.0;2647.0;354.0;Avenida de la Constitución,Avenida de los Príncipes de España;2;no;26.92
Coslada;San Sebastián de los Reyes;3.0;1.0;18906.0;1369.0;M-40,M-12;2;si;49.72
Coslada;Torrejón de Ardoz;3.07;1.33;11177.0;994.0;Calle de la Rioja,M-21,A-2;3;si;40.48
Coslada;Torrejón de la Calzada;3.0;1.0;39281.0;1941.0;M-45,M-50,A-42;3;si;72.86
Coslada;Torrelaguna;2.0;1.0;58272.0;2802.0;M-12,A-1;2;no;74.87
Coslada;Valdemoro;2.5;1.0;33481.0;1761.0;M-45,M-50,A-4;3;si;68.44
Coslada;Velilla de San Antonio;3.33;1.33;15069.0;983.0;R-3,Calle de Federico García Lorca;2;no;55.19
Coslada;Villavieja del Lozoya;2.0;1.0;79371.0;3535.0;A-1;1;no;80.83
Cubas de la Sagra;Fuenlabrada;3.0;1.0;12830.0;1185.0;Camino de Madrid,M-405,Calle de Luis Sauquillo;3;no;38.98
Cubas de la Sagra;Madrid;3.0;1.0;32001.0;1986.0;A-42;1;si;58.01
Daganzo de Arriba;Ajalvir;3.0;1.0;2756.0;334.0;M-113;1;no;29.71
Daganzo de Arriba;Alcalá de Henares;3.0;1.0;12771.0;1125.0;M-118,M-100,Avenida de Daganzo;3;no;40.87
Daganzo de Arriba;Camarma de Esteruelas;3.0;1.0;17622.0;1236.0;M-118,M-100,M-119;3;no;51.33
Daganzo de Arriba;Coslada;2.0;1.0;20959.0;1433.0;M-108,M-50,M-21;3;si;52.65
Daganzo de Arriba;Madrid;2.62;1.0;31594.0;2237.0;M-108,A-2;2;si;50.84
Daganzo de Arriba;San Sebastián de los Reyes;3.82;1.41;19338.0;1354.0;M-100,Antigua Carretera de Burgos;2;no;51.42
Daganzo de Arriba;Torrejón de Ardoz;2.0;1.0;12316.0;954.0;M-108;1;no;46.48
El Berrueco;Cervera de Buitrago;2.0;1.0;13321.0;828.0;M-127;1;no;57.92
El Berrueco;Madrid;2.67;1.0;66487.0;3263.0;A-1;1;no;73.35
El Berrueco;Patones;3.0;1.0;17052.0;1182.0;M-131,M-102;2;no;51.94
El Boalo;Alcobendas;3.0;1.0;41742.0;2279.0;M-607;1;no;65.94
El Boalo;Alpedrete;3.83;1.33;14507.0;1173.0;M-608,M-619;2;no;44.52
El Boalo;Aranjuez;3.25;1.25;99789.0;4789.0;A-6,M-50,A-4;3;si;75.01
El Boalo;Collado Villalba;5.55;1.91;13969.0;1255.0;Camino del Boalo a Cerceda,M-608,Carretera de Moralzarzal;3;no;40.07
El Boalo;Colmenar Viejo;2.75;1.0;20571.0;1359.0;M-608,M-607;2;no;54.49
El Boalo;Colmenar de Oreja;3.0;1.0;103176.0;5577.0;M-607,A-3,M-311;3;si;66.6
El Boalo;Guadalix de la Sierra;2.0;1.5;26954.0;1697.0;M-608;1;no;57.18
El Boalo;Madrid;3.68;1.29;52517.0;3247.0;M-608,A-6;2;no;58.23
El Boalo;Manzanares el Real;2.0;1.0;5715.0;450.0;M-617,M-608;2;no;45.72
El Boalo;Moralzarzal;3.83;1.33;7951.0;677.0;Calle de la Peña Hoyuela,Camino del Boalo a Cerceda,M-608;3;no;42.28
El Boalo;Móstoles;3.0;1.0;56262.0;3008.0;M-608,A-6,M-50;3;si;67.33
El Boalo;Rivas-Vaciamadrid;1.0;1.0;71313.0;3722.0;M-607,A-3;2;si;68.98
El Boalo;Soto del Real;2.0;1.5;13830.0;1008.0;M-608,Carretera de Torrelaguna a El Escorial;2;no;49.39
El Boalo;Tres Cantos;3.0;1.0;29831.0;1712.0;M-607;1;no;62.73
El Escorial;Alcobendas;3.0;1.0;54483.0;3677.0;M-505,M-40;2;si;53.34
El Escorial;Aranjuez;3.0;1.0;92512.0;4399.0;M-600,M-50,A-4;3;si;75.71
El Escorial;Boadilla del Monte;3.0;1.0;38354.0;2147.0;M-600,M-503;2;no;64.31
El Escorial;Brunete;3.0;1.0;26029.0;1604.0;M-600;1;no;58.42
El Escorial;Collado Villalba;1.25;1.0;17814.0;1171.0;M-600,AP-6;2;no;54.77
El Escorial;Fresnedillas de la Oliva;3.0;1.0;15624.0;1097.0;M-600,M-533,M-532;3;no;51.27
El Escorial;Fuenlabrada;3.0;1.0;54302.0;2791.0;M-600,M-503,M-50;3;si;70.04
El Escorial;Galapagar;3.0;1.25;11626.0;796.0;M-505;1;no;52.58
El Escorial;Getafe;3.0;1.0;57605.0;3039.0;M-600,M-503,M-40;3;si;68.24
El Escorial;Guadarrama;3.67;1.0;11160.0;758.0;M-600;1;no;53.0
El Escorial;Las Rozas de Madrid;3.6;1.1;61208.0;3927.0;M-512,M-501;2;no;56.11
El Escorial;Madrid;3.12;1.27;45489.0;3069.0;M-505,A-6;2;no;53.36
El Escorial;Majadahonda;3.4;1.0;29820.0;2083.0;M-505;1;no;51.54
El Escorial;Móstoles;1.5;1.0;42423.0;2602.0;M-600,M-501;2;no;58.69
El Escorial;Navalcarnero;3.0;1.0;41298.0;2639.0;M-600;1;no;56.34
El Escorial;Soto del Real;3.0;1.0;40756.0;2901.0;M-600,M-623,M-608;3;no;50.58
El Escorial;Villanueva de la Cañada;3.0;1.0;21292.0;1383.0;M-600;1;no;55.42
El Molar;Alcalá de Henares;3.0;1.0;47356.0;2274.0;A-1,M-50,R-2;3;si;74.97
El Molar;Alcobendas;3.0;1.27;28378.0;1404.0;A-1;1;no;72.76
El Molar;Alpedrete;3.0;1.0;51069.0;3060.0;M-104,M-607,M-608;3;no;60.08
El Molar;Arganda del Rey;1.0;1.0;64664.0;2823.0;A-1,M-50;2;si;82.46
El Molar;Buitrago del Lozoya;2.75;1.0;32179.0;1390.0;A-1;1;no;83.34
El Molar;Colmenar Viejo;3.0;1.0;23604.0;1436.0;A-1,M-104;2;no;59.17
El Molar;Fuenlabrada;4.0;2.0;68701.0;3390.0;A-1,M-30,A-42;3;si;72.96
El Molar;La Acebeda;3.0;1.0;44574.0;1860.0;A-1;1;no;86.27
El Molar;La Cabrera;2.5;1.0;16501.0;868.0;Carretera de Burgos,A-1;2;no;68.44
El Molar;Las Rozas de Madrid;3.0;1.0;128645.0;6138.0;A-1,M-501;2;no;75.45
El Molar;Lozoya;3.0;1.0;41690.0;1988.0;A-1,M-604;2;no;75.49
El Molar;Lozoyuela-Navas-Sieteiglesias;2.75;1.0;24027.0;1060.0;A-1;1;no;81.6
El Molar;Madrid;3.25;1.3;43676.0;2383.0;A-1;1;no;65.98
El Molar;Móstoles;3.0;1.0;65776.0;3332.0;A-1,M-30,R-5;3;no;71.07
El Molar;Rivas-Vaciamadrid;1.0;1.0;59553.0;2384.0;A-1,M-50;2;si;89.93
El Molar;San Sebastián de los Reyes;3.25;1.12;24456.0;1347.0;A-1,Antigua Carretera de Burgos;2;no;65.36
El Molar;Somosierra;3.0;1.0;48812.0;1928.0;A-1;1;no;91.14
El Molar;Talamanca de Jarama;3.0;1.0;14848.0;1062.0;M-129,M-122,M-103;3;no;50.33
El Molar;Torrejón de Ardoz;3.0;1.0;42127.0;1892.0;A-1,M-50;2;si;80.16
El Molar;Tres Cantos;3.0;1.0;32247.0;1897.0;A-1,M-104,M-607;3;no;61.2
El Molar;Valdemoro;2.0;1.0;68574.0;3318.0;A-1,A-4;2;no;74.4
El Molar;Venturada;3.0;1.0;8915.0;502.0;Carretera de Francia,Carretera de Burgos,A-1;3;no;63.93
El Vellón;Alcobendas;3.0;1.0;33089.0;1584.0;A-1;1;no;75.2
El Vellón;Madrid;3.0;1.0;48387.0;2563.0;A-1;1;no;67.96
El Álamo;Alcalá de Henares;1.0;1.0;72591.0;3864.0;R-5,M-40,A-2;3;si;67.63
El Álamo;Alcobendas;3.0;1.0;61735.0;3018.0;R-5,M-30,A-1;3;no;73.64
El Álamo;Alcorcón;2.75;1.0;25525.0;1273.0;A-5;1;si;72.18
El Álamo;Getafe;2.0;1.0;35408.0;1669.0;R-5,M-50;2;si;76.37
El Álamo;Griñón;2.5;1.0;13326.0;923.0;M-404;1;no;51.98
El Álamo;La Cabrera;3.0;1.0;103962.0;4493.0;R-5,A-1;2;no;83.3
El Álamo;Leganés;1.5;1.0;30769.0;1659.0;R-5;1;no;66.77
El Álamo;Madrid;2.27;1.09;39703.0;2283.0;A-5,Avenida de Portugal;2;si;62.61
El Álamo;Móstoles;2.5;1.12;21669.0;1152.0;M-404,A-5;2;si;67.72
El Álamo;Navalcarnero;2.5;1.0;7349.0;554.0;M-404,Calle de San Roque;2;no;47.76
El Álamo;San Fernando de Henares;1.0;1.0;58074.0;2771.0;A-5,M-45;2;si;75.45
El Álamo;Somosierra;3.0;1.0;136273.0;5553.0;R-5,A-1;2;no;88.35
El Álamo;Torrejón de Ardoz;1.0;1.0;66428.0;2951.0;R-5,M-50;2;si;81.04
El Álamo;Valdemoro;2.5;1.0;31230.0;2048.0;M-404;1;no;54.9
El Álamo;Villarejo de Salvanés;2.0;1.0;88303.0;3550.0;R-5,M-50,A-3;3;si;89.55
Fresnedillas de la Oliva;Alcorcón;2.0;1.0;44691.0;2678.0;M-521,M-501,M-506;3;no;60.08
Fresnedillas de la Oliva;Madrid;2.5;1.0;54860.0;3397.0;M-510,M-600,M-503;3;no;58.14
Fuenlabrada;Alcalá de Henares;1.8;1.0;54648.0;2809.0;M-50;1;si;70.04
Fuenlabrada;Alcobendas;2.5;1.0;43640.0;2426.0;R-5,M-30,A-1;3;no;64.76
Fuenlabrada;Alcorcón;3.32;1.42;10345.0;794.0;M-506,Avenida de Móstoles;2;no;46.9
Fuenlabrada;Aranjuez;3.27;1.27;37838.0;2326.0;M-506,A-4,M-305;3;no;58.56
Fuenlabrada;Arganda del Rey;2.0;1.0;40297.0;2128.0;M-50,A-3;2;si;68.17
Fuenlabrada;Arroyomolinos;3.0;1.0;12248.0;1162.0;M-413;1;no;37.95
Fuenlabrada;Boadilla del Monte;2.5;1.25;17763.0;1056.0;M-506,M-50;2;si;60.56
Fuenlabrada;Brunete;3.0;1.0;26299.0;1425.0;M-506,M-506,M-501;3;no;66.44
Fuenlabrada;Buitrago del Lozoya;1.0;1.0;101545.0;4423.0;M-30,A-1;2;no;82.65
Fuenlabrada;Chapinería;3.0;1.0;45567.0;2128.0;M-506,M-501;2;no;77.09
Fuenlabrada;Ciempozuelos;2.25;1.0;24715.0;1847.0;M-506,A-4,M-404;3;no;48.17
Fuenlabrada;Collado Villalba;3.75;1.38;49702.0;2215.0;M-50,A-6;2;si;80.78
Fuenlabrada;El Boalo;2.0;1.0;61618.0;3365.0;M-50,A-6,M-608;3;si;65.92
Fuenlabrada;Fresnedillas de la Oliva;3.0;1.0;50810.0;2915.0;M-506,M-501,M-521;3;no;62.75
Fuenlabrada;Fuentidueña de Tajo;3.0;1.0;75112.0;3218.0;M-50,A-3;2;si;84.03
Fuenlabrada;Getafe;3.19;1.23;9379.0;882.0;Calle de Leganés,M-409,M-406;3;no;38.28
Fuenlabrada;Griñón;2.85;1.09;10124.0;1019.0;M-405;1;no;35.77
Fuenlabrada;Guadarrama;3.0;1.0;56800.0;2577.0;M-50,A-6;2;si;79.35
Fuenlabrada;Humanes de Madrid;2.83;1.09;5456.0;619.0;Calle de Luis Sauquillo,M-405;2;no;31.73
Fuenlabrada;Las Rozas de Madrid;3.57;1.36;81544.0;4015.0;M-506,M-501;2;no;73.12
Fuenlabrada;Leganés;3.27;1.27;6662.0;706.0;Calle de Leganés,M-409,Avenida de Fuenlabrada;3;no;33.97
Fuenlabrada;Loeches;2.0;1.0;43604.0;2216.0;M-50,M-217;2;si;70.84
Fuenlabrada;Madrid;5.76;2.48;24533.0;1673.0;M-506,R-5,A-42;3;si;52.79
Fuenlabrada;Majadahonda;2.57;1.0;27912.0;1452.0;M-506,M-50;2;si;69.2
Fuenlabrada;Moraleja de Enmedio;3.0;1.0;6677.0;711.0;M-413;1;no;33.81
Fuenlabrada;Móstoles;3.89;1.61;8988.0;736.0;Calle de Francia,M-506,Calle del Camino de Leganés;3;no;43.96
Fuenlabrada;Navalcarnero;2.33;1.11;26590.0;1284.0;A-5;1;si;74.55
Fuenlabrada;Navas del Rey;3.0;1.0;48636.0;2242.0;M-506,M-501;2;no;78.1
Fuenlabrada;Parla;3.05;1.05;9501.0;1038.0;Calle de la Constitución,A-42,Calle Real;3;si;32.95
Fuenlabrada;Pinto;2.7;1.2;14690.0;1025.0;Avenida Hispanidad,M-50,A-4;3;si;51.59
Fuenlabrada;Rivas-Vaciamadrid;2.47;1.07;31952.0;1636.0;M-50;1;si;70.31
Fuenlabrada;San Fernando de Henares;2.0;1.0;32615.0;2129.0;M-409,A-42,M-45;3;si;55.15
Fuenlabrada;San Lorenzo de El Escorial;3.0;1.0;57283.0;3234.0;M-50,M-503,M-600;3;si;63.77
Fuenlabrada;San Martín de Valdeiglesias;2.5;1.0;67058.0;3270.0;M-501;1;no;73.83
Fuenlabrada;San Sebastián de los Reyes;2.5;1.0;44289.0;2500.0;R-5,M-30,A-1;3;no;63.78
Fuenlabrada;Serranillos del Valle;1.5;1.0;13194.0;994.0;M-413,M-407;2;no;47.79
Fuenlabrada;Torrejón de Ardoz;2.0;1.0;40899.0;2184.0;M-50;1;si;67.42
Fuenlabrada;Torrelodones;2.0;1.0;38325.0;1728.0;M-506,M-50;2;si;79.84
Fuenlabrada;Valdemoro;3.37;1.5;16891.0;1284.0;M-506,A-4;2;no;47.36
Fuenlabrada;Villanueva de la Cañada;2.86;1.14;31110.0;1882.0;M-506,M-501,M-600;3;no;59.51
Fuenlabrada;Villanueva del Pardillo;3.0;1.0;32016.0;1540.0;M-50,M-509;2;si;74.84
Fuenlabrada;Villarejo de Salvanés;1.5;1.0;62774.0;2783.0;M-50,A-3;2;si;81.2
Fuenlabrada;Villaviciosa de Odón;3.92;1.58;14983.0;939.0;M-506,M-50,M-506;3;si;57.44
Fuente el Saz de Jarama;Alcalá de Henares;2.33;1.67;27575.0;1910.0;M-103,M-100,Avenida de Daganzo;3;no;51.97
Fuente el Saz de Jarama;Algete;1.0;1.0;6207.0;485.0;M-103;1;no;46.07
Fuente el Saz de Jarama;Cobeña;4.0;2.0;8768.0;608.0;M-103;1;no;51.92
Fuente el Saz de Jarama;Collado Villalba;2.67;1.0;65631.0;3562.0;A-1,M-40,A-6;3;si;66.33
Fuente el Saz de Jarama;Madrid;2.29;1.0;34885.0;2378.0;Avenida de las Víctimas del Terrorismo,A-1,M-30;3;no;52.81
Fuente el Saz de Jarama;Móstoles;3.0;1.0;56985.0;3327.0;A-1,M-30,R-5;3;no;61.66
Fuente el Saz de Jarama;Navalcarnero;3.0;1.0;71166.0;3664.0;A-1,M-30,A-5;3;si;69.92
Fuente el Saz de Jarama;Pozuelo de Alarcón;3.0;1.0;41072.0;2816.0;Avenida de las Víctimas del Terrorismo,A-1,M-40;3;si;52.51
Fuente el Saz de Jarama;San Sebastián de los Reyes;3.12;1.12;15492.0;1239.0;Calle de Madrid,Avenida de las Víctimas del Terrorismo,Antigua Carretera de Burgos;3;no;45.01
Fuente el Saz de Jarama;Torrelodones;2.0;1.0;54254.0;3075.0;A-1,M-40,A-6;3;si;63.52
Fuente el Saz de Jarama;Valdemoro;3.0;1.0;63904.0;2916.0;M-50,A-4;2;si;78.89
Fuentidueña de Tajo;Alcalá de Henares;0.0;1.0;65956.0;3206.0;A-3,R-3,M-203;3;si;74.06
Fuentidueña de Tajo;Alcobendas;3.0;1.0;76792.0;3590.0;A-3;1;si;77.01
Fuentidueña de Tajo;Arganda del Rey;1.8;1.0;35330.0;1651.0;A-3;1;si;77.04
Fuentidueña de Tajo;Brea de Tajo;3.0;1.0;16350.0;1010.0;M-240,M-241,M-238;3;no;58.28
Fuentidueña de Tajo;Collado Villalba;3.0;1.0;107073.0;4779.0;A-3,A-6;2;si;80.66
Fuentidueña de Tajo;Getafe;2.0;1.0;72339.0;2943.0;A-3,M-50;2;si;88.49
Fuentidueña de Tajo;Guadarrama;3.0;1.0;114171.0;5141.0;A-3,A-6;2;si;79.95
Fuentidueña de Tajo;Las Rozas de Madrid;3.0;1.0;153706.0;6618.0;A-3,M-50,M-501;3;si;83.61
Fuentidueña de Tajo;Leganés;3.0;1.0;69870.0;3179.0;A-3,M-45;2;si;79.12
Fuentidueña de Tajo;Madrid;2.67;1.13;63519.0;2968.0;A-3;1;si;77.04
Fuentidueña de Tajo;Mejorada del Campo;2.0;1.0;47991.0;2051.0;A-3,R-3;2;si;84.24
Fuentidueña de Tajo;Móstoles;2.0;1.0;81731.0;3430.0;A-3,M-50;2;si;85.78
Fuentidueña de Tajo;Perales de Tajuña;2.2;1.0;23456.0;1105.0;A-3;1;si;76.42
Fuentidueña de Tajo;Rivas-Vaciamadrid;2.0;1.0;44274.0;1836.0;A-3;1;si;86.81
Fuentidueña de Tajo;Torrelodones;3.0;1.0;95696.0;4292.0;A-3,A-6;2;si;80.27
Fuentidueña de Tajo;Velilla de San Antonio;2.0;1.0;48265.0;2051.0;A-3,R-3;2;si;84.72
Fuentidueña de Tajo;Villarejo de Salvanés;2.08;1.0;12633.0;687.0;M-831,A-3;2;si;66.2
Galapagar;Alcalá de Henares;1.0;1.0;65460.0;4170.0;M-519,A-6,A-2;3;si;56.51
Galapagar;Alcobendas;3.0;1.0;45228.0;2997.0;A-6,M-40;2;si;54.33
Galapagar;Alcorcón;3.0;1.0;36332.0;2039.0;M-505,M-50;2;si;64.15
Galapagar;Aranjuez;1.0;1.0;80086.0;3914.0;M-50,A-4;2;si;73.66
Galapagar;Boadilla del Monte;2.0;1.0;26088.0;1647.0;M-505,M-50;2;si;57.02
Galapagar;Brunete;1.5;1.0;24189.0;1733.0;M-510,M-600;2;no;50.25
Galapagar;Collado Mediano;3.0;1.0;16331.0;1287.0;M-525,A-6,M-601;3;no;45.68
Galapagar;Collado Villalba;1.75;1.0;6190.0;667.0;M-528;1;no;33.41
Galapagar;El Escorial;2.0;1.0;11668.0;837.0;M-505;1;no;50.18
